Phase,Task,Hours min,Hours max,Note
P4,MySQL dump analysis & schema reverse-engineering,6,12,"Map miniShop2 tables to Medusa models"
P4,Extraction layer & reusable Admin API client,4,8,"Batching, retry, old_id->new_id idempotency map"
P4,Category migration,3,6,"Rebuild category tree/handles"
P4,Product/variant/price/weight/description migration,16,30,"~400-500 SKUs; inconsistent option modelling"
P4,Product image upload & association,8,16,"Match hundreds of files, galleries, thumbnails"
P4,Customer & address migration,4,8,"No passwords (reset flag), dedupe"
P4,Order migration incl. Abandoned carts,20,40,"HIGHEST RISK; item->variant matching, status mapping, timestamps"
P4,Data cleaning / normalization / encoding fixes,8,16,"UTF-8/latin1, strip MODX HTML, dedupe, backfill"
P4,Validation & reconciliation,8,14,"Counts + per-order totals + unmatched report"
P4,Staging dry-runs + production cutover run,6,12,"Real-volume failures + final clean import"
P5,Astro i18n setup (en primary + fr/it/es),8,14,"Convert starter /de scaffold; routing decisions"
P5,UI string extraction + catalog + t() wiring,10,18,"Audit hardcoded strings across ~11 templates"
P5,UI string translation + proofreading (FR/IT/ES),6,12,"Few hundred keys; checkout/account care"
P5,Medusa product translation mechanism,8,14,"No first-class per-locale fields; design storage+read"
P5,Product bulk translation pipeline,10,16,"DeepL/Claude batching + herb glossary + idempotent"
P5,Product translation human proofreading pass,30,60,"HIGH-VOLUME; ~400-480 x3; safety-sensitive terms"
P5,Category names translation + proofread,2,4,"Small set, wired to nav/slugs"
P5,Blog translation pipeline (80 x3),12,20,"MDX/frontmatter-safe, per-locale Keystatic"
P5,Blog translation human proofreading pass,20,36,"HIGH-VOLUME; 240 long-form pieces"
P5,Static pages translation + proofread,5,10,"Legal/policy accuracy per language"
P5,Language switcher UI + locale persistence,6,10,"Route mapping + cart context"
P5,hreflang / canonical / sitemap / metadata,6,10,"Reconcile with P6 SEO (see reconcile: overlap)"
P5,Cross-locale QA + iteration + client back-and-forth,12,20,"Text expansion breaks FR/IT/ES layouts"
P6,Keystatic blog collection setup,3,6,"Post schema + custom MDX components"
P6,HTML->Markdown conversion script,5,9,"Messy MODX/TinyMCE HTML; iteration"
P6,Blog image migration,4,8,"Extract/download/rewrite/optimize; chase broken"
P6,Manual cleanup & QA of 80 posts,16,28,"~0.2-0.35h/post repair; highest-volume item"
P6,Build old->new 301 redirect map,6,12,"Products/categories/blog/static; slug mismatches manual"
P6,Implement redirects in Caddy and verify,3,6,"No chains/loops; trailing-slash/lang-prefix"
P6,Sitemap + robots.txt (hreflang, drafts),3,5,"@astrojs/sitemap config"
P6,Meta/canonical/OG/JSON-LD across templates,5,9,"Reusable SEO head; Product/Article schema"
P6,SEO QA pass on staging,3,6,"Crawl for broken links/redirects/canonicals"
P7,Zoho Mail Free setup (3 mailboxes),2,4,"Domain verify, mailboxes, aliases"
P7,Primary-domain DNS for Zoho (MX/SPF/DKIM/DMARC),1.5,3,"Reconcile with legacy records, TTLs"
P7,IMAP migration from WaveCom into Zoho,3,7,"Highest-variance; often 2-3 passes"
P7,Resend setup for Medusa transactional,3,6,"Verify send. subdomain, wire provider, test"
P7,Deliverability testing & auth tuning,2,4,"Cold reputation; iterate to clear spam"
P7,Cutover coordination & handoff,1.5,3,"Schedule MX switch, monitor propagation"
P8,QA test plan & checklist prep,2,4,"Test matrix + staging test data"
P8,Checkout QA — PayPal + bank transfer,6,10,"E2E both methods; emails/status/totals"
P8,Shipping zones EE/EU QA,2,4,"Flat-rate rules, edge cases"
P8,Catalog & search QA,3,5,"Browsing/variants/pricing/stock/images"
P8,Account flows QA,4,6,"Register/login/reset/history/favorites"
P8,Migrated orders spot-check,4,7,"Sample ~102 incl. abandoned; matching errors"
P8,4-language spot-check,5,8,"UI+products+blog+checkout+emails across locales"
P8,Blog QA (Keystatic),2,4,"~80 posts render, images/MDX, pagination"
P8,Redirect map verification (301s),3,5,"Key URLs resolve; no loops/404"
P8,Responsive testing,4,7,"Mobile/tablet across ~11 templates"
P8,Cross-browser testing,3,6,"Chrome/Safari/Firefox + mobile"
P8,Defect logging & triage,2,4,"Compile/reproduce/prioritize"
P8,Internal bugfix pass,10,18,"Volume unknown until QA runs"
P8,Client acceptance round,3,5,"Guided walkthrough + sign-off items"
P8,Acceptance fixes,6,12,"Client-requested changes"
P8,Regression re-test,3,5,"Re-run critical paths after fixes"
P9,Go-live checklist authoring + cutover dry-run,4,8,"Rehearse cutover against staging"
P9,DNS cutover to prod VPS + propagation monitoring,2,4,"A/AAAA to prod, TLS, apex+www"
P9,Final delta data re-sync,6,12,"Records changed since migration freeze"
P9,Final IMAP mail delta sync + mail-auth DNS verify,4,8,"Flip MX, verify SPF/DKIM/DMARC + Resend"
P9,PayPal sandbox->live switch + live txn verify,3,6,"Real low-value order+refund (gated on verification)"
P9,Production smoke tests across flows + 4 langs,8,14,"E2E in prod (see reconcile: trim vs P8)"
P9,301 redirect + SEO verification in production,3,6,"Live 301s, submit sitemap, Search Console"
P9,Backups/monitoring/prod hardening verification,3,6,"Backup restore, restart policies, alerting"
P9,Client training sessions,6,10,"Medusa admin + Keystatic; 2-3 recorded sessions"
P9,Handover documentation package,6,12,"Admin guide, deploy runbook, ops notes, FAQ"
P9,Post-launch warranty / bugfix period,16,32,"Bounded window; defects under real traffic"
